service_name,suburb,state,address,lat,lng,day,start_time,end_time,shift_status,van_asset
Wadeye,Wadeye,NT,Kanarlda Street,-14.237414,129.518786,Wednesday,9:00 am,4:00 pm,Shift Status,Van Asset
Wadeye,Wadeye,NT,Kanarlda Street,-14.237414,129.518786,Friday,9:00 am,3:00 pm,Shift Status,Van Asset
Wadeye,Wadeye,NT,Kanarlda Street,-14.237414,129.518786,Monday,9:00 am,3:00 pm,Shift Status,Van Asset
Wadeye,Wadeye,NT,Kanarlda Street,-14.237414,129.518786,Thursday,9:00 am,3:00 pm,Shift Status,Van Asset
Wadeye,Wadeye,NT,Kanarlda Street,-14.237414,129.518786,Tuesday,9:00 am,3:00 pm,Shift Status,Van Asset
Wadeye,Wadeye,NT,Kanarlda Street,-14.237414,129.518786,Wednesday,9:00 am,4:00 pm,Shift Status,Van Asset
Nganmarriyanga Pod,Nganmarriyanga,NT,Nganmarriyanga,-14.352393,129.88225,Friday,8:00 am,3:00 pm,Shift Status,Van Asset
Nganmarriyanga Pod,Nganmarriyanga,NT,Nganmarriyanga,-14.352393,129.88225,Monday,8:00 am,3:00 pm,Shift Status,Van Asset
Nganmarriyanga Pod,Nganmarriyanga,NT,Nganmarriyanga,-14.352393,129.88225,Thursday,8:00 am,3:00 pm,Shift Status,Van Asset
Nganmarriyanga Pod,Nganmarriyanga,NT,Nganmarriyanga,-14.352393,129.88225,Tuesday,8:00 am,3:00 pm,Shift Status,Van Asset
Nganmarriyanga Pod,Nganmarriyanga,NT,Nganmarriyanga,-14.352393,129.88225,Wednesday,8:00 am,3:00 pm,Shift Status,Van Asset
Mornington Island,Wellesley Islands,QLD,Lardil Street,-16.665093,139.179393,Monday,9:00 am,3:00 pm,Shift Status,Van Asset
Mornington Island,Wellesley Islands,QLD,Lardil Street,-16.665093,139.179393,Tuesday,9:00 am,3:00 pm,Shift Status,Van Asset
Mornington Island,Wellesley Islands,QLD,Lardil Street,-16.665093,139.179393,Wednesday,9:00 am,3:00 pm,Shift Status,Van Asset
Mornington Island,Wellesley Islands,QLD,Lardil Street,-16.665093,139.179393,Thursday,9:00 am,3:00 pm,Shift Status,Van Asset
Mornington Island,Wellesley Islands,QLD,Lardil Street,-16.665093,139.179393,Friday,9:00 am,3:00 pm,Shift Status,Van Asset
Centacare,Manunda,QLD,212 McCormack Street,-16.916905,145.7454,Friday,10:00 am,12:00 pm,Shift Status,Van Asset
Cairns Villas,Manoora,QLD,28 Pease Street,-16.921249,145.741267,Monday,8:00 am,11:00 am,Shift Status,Van Asset
Rosies and WOW,Parramatta Park,QLD,251-269 Severin Street,-16.927381,145.765017,Thursday,5:00 pm,8:00 pm,Shift Status,Van Asset
Gardner St Park,Pioneer,QLD,15 Gardner Street,-20.718268,139.510135,Tuesday,9:00 am,12:00 pm,Shift Status,Van Asset
RAGOSS Dinner Camp,Mornington,QLD,4 Burke Street,-20.731269,139.491519,Friday,9:00 am,12:00 pm,Shift Status,Van Asset
